comentario,sentimento,comentario_limpo
O atendimento foi excelente e resolveram meu problema rapidamente,positivo,o atendimento foi excelente e resolveram meu problema rapidamente
"Gostei muito do serviço, foi uma ótima experiência",positivo,gostei muito do serviço foi uma ótima experiência
A equipe foi muito atenciosa e prestativa,positivo,a equipe foi muito atenciosa e prestativa
O sistema é fácil de usar e funciona muito bem,positivo,o sistema é fácil de usar e funciona muito bem
Fiquei muito satisfeito com o suporte recebido,positivo,fiquei muito satisfeito com o suporte recebido
O produto atendeu minhas expectativas,positivo,o produto atendeu minhas expectativas
A solução ajudou bastante no meu trabalho,positivo,a solução ajudou bastante no meu trabalho
O atendimento foi rápido e eficiente,positivo,o atendimento foi rápido e eficiente
"Recomendo o serviço, gostei bastante",positivo,recomendo o serviço gostei bastante
A experiência foi positiva e tranquila,positivo,a experiência foi positiva e tranquila
O atendimento foi ruim e demorado,negativo,o atendimento foi ruim e demorado
Não gostei do serviço prestado,negativo,não gostei do serviço prestado
O sistema trava muito e é difícil de usar,negativo,o sistema trava muito e é difícil de usar
Estou insatisfeito com o suporte,negativo,estou insatisfeito com o suporte
Demoraram muito para resolver meu problema,negativo,demoraram muito para resolver meu problema
A experiência foi péssima,negativo,a experiência foi péssima
O produto não funcionou como esperado,negativo,o produto não funcionou como esperado
Tive muitos problemas com a plataforma,negativo,tive muitos problemas com a plataforma
O suporte não respondeu minha solicitação,negativo,o suporte não respondeu minha solicitação
Não recomendo esse serviço,negativo,não recomendo esse serviço
O atendimento foi normal,neutro,o atendimento foi normal
O serviço atendeu parcialmente,neutro,o serviço atendeu parcialmente
Não tenho uma opinião formada sobre o produto,neutro,não tenho uma opinião formada sobre o produto
A experiência foi regular,neutro,a experiência foi regular
"O sistema funciona, mas poderia melhorar",neutro,o sistema funciona mas poderia melhorar
"O suporte respondeu, mas demorou um pouco",neutro,o suporte respondeu mas demorou um pouco
O produto é razoável,neutro,o produto é razoável
Achei o serviço mediano,neutro,achei o serviço mediano
Foi uma experiência comum,neutro,foi uma experiência comum
"Não foi ruim, mas também não foi excelente",neutro,não foi ruim mas também não foi excelente
